Qty;Value;Device;Package;Description;DIGI-KEY_PART_NUMBER
1;;LEDSML1206;SML1206;LED ESTADO;
1;0.1uF;C-EUC0603;C0603;CAPACITOR;
1;10uF;C-EUC0603;C0603;CAPACITOR;
2;1K;R-US_R0603;R0603;RESISTENCIA;
1;1k;R-US_R0603;R0603;RESISTENCIA;
1;ATTINY412-SSNSOIC8_SA_SST_MCH-M;ATTINY412-SSNSOIC8_SA_SST_MCH-M;SOIC8_SA_SST_MCH-M;MICROCONTROLADOR;ATTINY412-SSN
2;BATERIA;BU2032SM-HD-G;BAT_BU2032SM-HD-G;SOPORTE DE BATERIA;BU2032SM-HD-G
3;BOTON;EVQ-P7L01P;SW_EVQ-P7L01P;BOTON;P16769CT-ND
1;SWITCH;JS102011SAQN;SW_JS102011SAQN;SWITCH DE ENCENDIDO;401-1999-1-ND
3;LED ;LED;LED;LED TRANSMISOR;
1;MMBT3904;MMBT3904;SOT23;TRANSSITOR NPN;MMBT3904TT1G
